Name	Description	Location	Time	Destination	Entity_UID
Signpost	,,,,,,Cot's tavern,	X-19, Y125, Z46	2022-02-06 20:27:05Z	---	null	
Translocator	Broken, Online,  Target: [ Invalid ], Range (400 ~ 8000)	X-156, Y57, Z37	2022-02-06 20:27:11Z	---	null	
Trader	Marco the luxuries merchant	X-22, Y126, Z35	2022-02-06 20:27:10Z	---	26

